[    0.46s ->     7.41s] As a professional quantitative researcher and trader, I want to tell you and prove to you
[    7.41s ->    15.13s] mathematically that nobody can teach you to trade. Trading can't be taught. Whether we're talking
[   15.13s ->    21.25s] about market making, quantitative trading, discretionary trading, in any case, there is
[   21.25s ->    29.01s] no fixed set of rules that you can follow to indefinitely make money trading. The space
[   29.01s ->    36.13s] literally doesn't function in that way. Now, trading gurus, they will sell you the lifestyle,
[   36.47s ->    42.03s] right? They quit their nine to five. They get to live their lives on their own terms, whatever that
[   42.03s ->    50.31s] means, even if it involves scamming people. And it's all nonsense. And in this video, we're going
[   50.31s ->    56.31s] to prove mathematically why this is the case. We're going to build a better understanding of
[   56.31s ->    63.03s] the space itself. And we'll talk about what it is that you can actually learn from the pros.
[   63.27s ->    70.55s] Trading in any form involves risk. If you have any hope of generating a return beyond a risk-free rate,
[   70.55s ->    78.43s] then you have to be at risk of losing money. But as we'll see later on, the likelihood of making and
[   78.43s ->    84.77s] losing money is certainly going to change under different circumstances. Now, the only thing that
[   84.77s ->    90.89s] I know of that is entirely risk-free is assuming you'll have access to a Jupyter notebook with a
[   90.89s ->    95.45s] new Quant Guild video. This Jupyter notebook will be linked in the description below. I will also post
[   95.45s ->    99.59s] it to the Quant Guild library on GitHub, where you can find all of my Jupyter notebooks and associated
[   99.59s ->   104.39s] YouTube videos, along with all of the source code for my quant builds. At the top of this Jupyter
[  104.39s ->   109.39s] notebook, you'll notice some related Quant Guild videos applying probability and statistics to finance
[  109.39s ->   114.63s] and trading. This idea of time series analysis, retail versus institutional trading, trading versus
[  114.63s ->   120.29s] investing, Markov chains, hidden Markov models specifically for Quant Finance, and of course,
[  120.41s ->   126.87s] this idea of model-informed decision-making. That is, making optimal decisions in the face of
[  126.87s ->   131.39s] uncertainty. If you're unfamiliar with any of these ideas, I highly recommend you check these videos
[  131.39s ->   137.37s] out first before tackling one like this. Moreover, these videos certainly take a lot of effort to create,
[  137.37s ->   141.71s] so if you'd like to help support the channel so I can continue to create videos just like this one,
[  141.77s ->   146.49s] please like, comment, subscribe, share. It helps me out tremendously. It is greatly appreciated,
[  146.75s ->   152.47s] and though nobody can teach you how to trade, I can teach you the skills necessary for this
[  152.47s ->   159.49s] industry. No nonsense, no shortcuts, just mastering your quantitative skills. If you're interested,
[  160.05s ->   165.23s] check out QuantGuild.com. Maybe you come from a background in business, economics, computer science,
[  165.23s ->   170.71s] physics. Heck, maybe you're an aspiring Quant, and you aren't too sure where to get started on your Quant
[  170.71s ->   175.49s] journey. Maybe you're a working professional looking to switch industries or sharpen those
[  175.49s ->   181.73s] quantitative skills for a technical interview. In any case, QuantGuild is for you. We have over 90 Quant
[  181.73s ->   187.29s] lessons in math, probability, finance, an adaptive practice engine that scales with your skill level,
[  187.35s ->   191.99s] so you can progress to more and more difficult topics with gamified rank-based progress,
[  191.99s ->   198.07s] interview questions with fully worked solutions, trading games coming soon, courses from A to Z in
[  198.07s ->   203.93s] math, probability, statistics, finance, coding, all from the ground up, and all that's included
[  203.93s ->   208.75s] with QuantGuild membership, and you can get started right now for free. So if you'd like to help support
[  208.75s ->   215.13s] the channel and master your quantitative skills, check out QuantGuild.com. Without further ado, let's get
[  215.13s ->   220.59s] started by building towards this idea of proving mathematically why nobody can teach you to trade,
[  220.59s ->   227.35s] and what it is exactly we can learn from the pros by first discussing this idea of edge or expected
[  227.35s ->   235.63s] value. Anytime we're dealing with a game or a system that involves randomness or uncertainty modeled as
[  235.63s ->   242.93s] randomness, you can think of things like roulette, blackjack, poker, or trading, we want to know something
[  242.93s ->   251.61s] about the outcome in terms of our wealth. But the problem with these spaces is that the outcomes are
[  251.61s ->   258.87s] inherently uncertain. We don't know what is actually going to happen to our wealth if we spin the wheel
[  258.87s ->   266.83s] one time, if we play a hand of blackjack, if we execute a trade. So we need some way of quantifying what we
[  266.83s ->   273.99s] expect to have happen to our wealth after we interact with one of these games or systems.
[  274.63s ->   281.79s] And typically what we do is we put it in terms of the expected value. The expected value, your edge,
[  281.97s ->   289.25s] is really just the average. What we expect to have happen to our wealth after one play of any of these
[  289.25s ->   297.51s] games or interacting with any of these systems one time. Is that positive or is it negative? We'll talk
[  297.51s ->   302.95s] about how to compute the expected value in a moment, but for now we just got to understand the idea that
[  302.95s ->   309.05s] if it's positive, the expected value, our edge is positive, we can accumulate wealth as we continue
[  309.05s ->   315.07s] to interact with any of these games or systems. If it's negative, then we're going to lose money the
[  315.07s ->   320.57s] more we interact with that gamer system. The problem is, and here's where things get a little
[  320.57s ->   328.93s] tricky, just because your expected value or your edge is positive at one point in time, it doesn't
[  328.93s ->   335.79s] mean that it is going to continue to be positive. And that is a very important idea. And that is for
[  335.79s ->   342.25s] a variety of reasons, which will become more apparent as we progress throughout this video. But for now,
[  342.25s ->   347.61s] let's further understand this idea of edge by looking at two traders in the short run versus
[  347.61s ->   353.99s] the long run. So here I have trader A and trader B. Trader A is this blue path, trader B is this purple
[  353.99s ->   360.43s] path. And my question is, which trader would you prefer to allocate capital to? Each has executed,
[  360.57s ->   366.41s] it looks like roughly 50 trades. Well, based on what I just said, we probably want to pick the trader
[  366.41s ->   373.21s] that has positive edge, positive expected value or positive EV, because that means they're going to
