[    0.00s ->     4.82s] Credit spreads has been my go-to strategy that allowed me to compound my wealth while I was
[    4.82s ->    10.96s] working at 9 to 5. Personally, without learning how to trade credit spreads, I probably wouldn't
[   10.96s ->    16.08s] have been able to quit my job and retire late last year. But I also know that credit spreads
[   16.08s ->    21.54s] can seem daunting. They are an advanced option strategy, but if you learn the risk and you learn
[   21.54s ->    26.72s] how to harness credit spreads, you can actually grow your account a lot faster than you thought
[   26.72s ->    32.38s] was possible. So this is why I made this video today. I'm going to show you step-by-step how to
[   32.38s ->    37.92s] trade credit spreads the right way, from beginner strategies to more advanced concepts that I use
[   37.92s ->    43.44s] even today. This video did take me a long time to make, and I'm sharing with you years of experience
[   43.44s ->    48.58s] all for free. So if you guys like content like this, make sure you guys like the video and subscribe to
[   48.58s ->    53.04s] the channel. It'll really help me out, and it'll also let YouTube know that this is content worth
[   53.04s ->    57.92s] watching. And before we get started, I'm going to show you guys one of my larger accounts where I
[   57.92s ->    63.71s] started trading credit spreads just so I can show you the performance for this video. So if you see
[   63.71s ->    69.29s] right here, right, my account currently sitting around $740,000, give or take. And over the last
[   69.29s ->    75.07s] three months, it's up 21%. And you can probably tell where I started selling credit spreads, right around
[   75.07s ->    79.71s] the end of July to the beginning of August. And this is where the acceleration really happened.
[   79.71s ->    84.51s] It's up $130,000 over the last three months. So not all $130,000 is attributed to credit spreads.
[   84.67s ->    90.15s] Some of it is leaps, some of it is stocks, some of it is selling puts, and some of it is credit
[   90.15s ->    93.51s] spreads. So in order to see the performance, I'm going to bring you over to a dashboard that I use
[   93.51s ->    99.57s] to track how I trade credit spreads. Here's every single trade that I took since I started this
[   99.57s ->   105.37s] experiment to show you guys how to trade credit spreads. My first spread was in July. That expired in
[  105.37s ->   110.43s] August. And I lost on that one, you can see there's a there's a lot. There's a decent amount
[  110.43s ->   116.97s] of spreads here. UNH, EIX, Lockheed Martin, and recently more TSMC are the only four stocks that
[  116.97s ->   122.07s] have traded. You can see since the end of July, where I lost my first trade over the last two
